course_link,course_id,course_name,course_slug,reviews_id,1_star_reviews,2_star_reviews,3_star_reviews,4_star_reviews,5_star_reviews,total_reviews
https://www.coursera.org/learn/-network-security,MUHkUBHDEe2K4gqJREL8qw,Network Security,-network-security,COURSE~MUHkUBHDEe2K4gqJREL8qw,0,0,0,1,3,4
https://www.coursera.org/learn/-security-principles,Z2u8URHAEe2zqRIXQVOwlw,Security Principles,-security-principles,COURSE~Z2u8URHAEe2zqRIXQVOwlw,0,0,0,1,8,9
https://www.coursera.org/learn/10k-women-1,hvfQS7HnEemJqg4_dq62MA,"Grow Your Business with Goldman Sachs 10,000 Women",10k-women-1,COURSE~hvfQS7HnEemJqg4_dq62MA,0,1,7,17,148,173
https://www.coursera.org/learn/10k-women-1-hi,mgrCT4J6EeyoNA5LwAhmgw,"Goldman Sachs 10,000 Women के साथ, अपने व्यवसाय की वृद्धि करें",10k-women-1-hi,COURSE~mgrCT4J6EeyoNA5LwAhmgw,0,0,0,0,0,0
https://www.coursera.org/learn/10k-women-10,HAa6frHpEemLFAoeawEMjg,"Fundamentals of Negotiation, with Goldman Sachs 10,000 Women",10k-women-10,COURSE~HAa6frHpEemLFAoeawEMjg,1,1,4,10,45,61
https://www.coursera.org/learn/10k-women-10-hi,zEU7BoJ7Eeyg9hKH5WRuwQ,"Goldman Sachs 10,000 Women के साथ, सन्धिकरण के मूल सिद्धांत",10k-women-10-hi,COURSE~zEU7BoJ7Eeyg9hKH5WRuwQ,0,0,0,0,0,0
https://www.coursera.org/learn/10k-women-2,94IWK7HnEemJqg4_dq62MA,"Fundamentals of Business Finance, with Goldman Sachs 10,000 Women",10k-women-2,COURSE~94IWK7HnEemJqg4_dq62MA,2,0,5,20,109,136
https://www.coursera.org/learn/10k-women-2-hi,yOfUj4J6EeyoNA5LwAhmgw,"Goldman Sachs 10,000 Women के साथ, व्यावसायिक वित्त के मूल सिद्धांत",10k-women-2-hi,COURSE~yOfUj4J6EeyoNA5LwAhmgw,0,0,0,0,0,0
https://www.coursera.org/learn/10k-women-3,_li5zrHnEemztgo18Q2_KA,"Fundamentals of Leadership, with Goldman Sachs 10,000 Women",10k-women-3,COURSE~_li5zrHnEemztgo18Q2_KA,2,0,5,15,81,103
https://www.coursera.org/learn/10k-women-3-hi,-APEJYJ6Eeyg9hKH5WRuwQ,"Goldman Sachs 10,000 Women के साथ, नेतृत्व के मूल सिद्धांत",10k-women-3-hi,COURSE~-APEJYJ6Eeyg9hKH5WRuwQ,0,0,0,0,0,0
https://www.coursera.org/learn/10k-women-4,IcCZJbHoEemBLwojGUHFwg,"Fundamentals of Customers and Competition, with Goldman Sachs 10,000 Women",10k-women-4,COURSE~IcCZJbHoEemBLwojGUHFwg,1,1,1,8,52,63
https://www.coursera.org/learn/10k-women-4-hi,EhvCDYJ7EeyWPQqrmHZ9QQ,"Goldman Sachs 10,000 Women के साथ, ग्राहकों और प्रतिस्पर्धा के मूल सिद्धांत",10k-women-4-hi,COURSE~EhvCDYJ7EeyWPQqrmHZ9QQ,0,0,0,0,0,0
https://www.coursera.org/learn/10k-women-5,d51-WbHoEemJqg4_dq62MA,"Fundamentals of Financial Planning, with Goldman Sachs 10,000 Women",10k-women-5,COURSE~d51-WbHoEemJqg4_dq62MA,1,1,3,8,49,62
https://www.coursera.org/learn/10k-women-5-hi,LYxLWIJ7EeyWPQqrmHZ9QQ,"Goldman Sachs 10,000 Women के साथ, वित्तीय योजना के मूल सिद्धांत",10k-women-5-hi,COURSE~LYxLWIJ7EeyWPQqrmHZ9QQ,0,0,0,0,0,0
https://www.coursera.org/learn/10k-women-6,q6NeKLHoEemZig6Or8WUgA,"Fundamentals of Sales and Marketing, with Goldman Sachs 10,000 Women",10k-women-6,COURSE~q6NeKLHoEemZig6Or8WUgA,4,2,6,35,124,171
https://www.coursera.org/learn/10k-women-6-hi,VyO5l4J7EeyWPQqrmHZ9QQ,"Goldman Sachs 10,000 Women के साथ, विक्रय और विपणन के मूल सिद्धांत",10k-women-6-hi,COURSE~VyO5l4J7EeyWPQqrmHZ9QQ,0,0,0,0,0,0
https://www.coursera.org/learn/10k-women-7,2Oq00bHoEem6CA4d-ZtA7A,"Fundamentals of Operations, with Goldman Sachs 10,000 Women",10k-women-7,COURSE~2Oq00bHoEem6CA4d-ZtA7A,0,0,1,8,35,44
https://www.coursera.org/learn/10k-women-7-hi,bkJ0yYJ7Eeyg9hKH5WRuwQ,"Goldman Sachs 10,000 Women के साथ, संचालन के मूल सिद्धांत",10k-women-7-hi,COURSE~bkJ0yYJ7Eeyg9hKH5WRuwQ,0,0,0,0,0,0
https://www.coursera.org/learn/10k-women-8,5RKVLLHoEemzRAosDekllA,"Fundamentals of Management, with Goldman Sachs 10,000 Women",10k-women-8,COURSE~5RKVLLHoEemzRAosDekllA,0,1,3,9,85,98
https://www.coursera.org/learn/10k-women-8-hi,jLD7voJ7EeyoNA5LwAhmgw,"Goldman Sachs 10,000 Women के साथ, प्रबंधन के मूल सिद्धांत",10k-women-8-hi,COURSE~jLD7voJ7EeyoNA5LwAhmgw,0,0,0,0,0,0
https://www.coursera.org/learn/10k-women-9,94fFyrHoEemIKxL9bHhqJA,"Fundamentals of Funding, with Goldman Sachs 10,000 Women",10k-women-9,COURSE~94fFyrHoEemIKxL9bHhqJA,0,1,2,3,26,32
https://www.coursera.org/learn/10k-women-9-hi,tL4hCYJ7EeyWPQqrmHZ9QQ,"Goldman Sachs 10,000 Women के साथ, निधिकरण के मूल सिद्धांत",10k-women-9-hi,COURSE~tL4hCYJ7EeyWPQqrmHZ9QQ,0,0,0,0,0,0
https://www.coursera.org/learn/10k-women-brpt-1,JpUQg-5tEemjIRKsAX_xWg,"Expanda Seus Negócios com o 10,000 Women da Goldman Sachs",10k-women-brpt-1,COURSE~JpUQg-5tEemjIRKsAX_xWg,0,0,1,1,25,27
https://www.coursera.org/learn/10k-women-brpt-10,1p6GnO5tEemjIRKsAX_xWg,"Fundamentos de Negociação com o 10,000 Women da Goldman Sachs",10k-women-brpt-10,COURSE~1p6GnO5tEemjIRKsAX_xWg,0,0,0,0,8,8
https://www.coursera.org/learn/10k-women-brpt-2,NRdcke5tEemi1BKPkzBRuA,"Fundamentos de Finanças da Empresa com o 10,000 Women da Goldman Sachs",10k-women-brpt-2,COURSE~NRdcke5tEemi1BKPkzBRuA,0,0,0,1,21,22
https://www.coursera.org/learn/10k-women-brpt-3,bPcZre5tEemvoBLePax8eg,"Fundamentos de Liderança com o 10,000 Women da Goldman Sachs",10k-women-brpt-3,COURSE~bPcZre5tEemvoBLePax8eg,0,0,0,4,22,26
https://www.coursera.org/learn/10k-women-brpt-4,h0usau5tEemPyQprX-xbXA,"Fundamentos de Clientes e Concorrência com o 10,000 Women da Goldman Sachs",10k-women-brpt-4,COURSE~h0usau5tEemPyQprX-xbXA,0,0,0,1,6,7
https://www.coursera.org/learn/10k-women-brpt-5,j_LJ5-5tEemnLQ54Ah2MlA,"Fundamentos de Planejamento Financeiro com o 10,000 Women da Goldman Sachs",10k-women-brpt-5,COURSE~j_LJ5-5tEemnLQ54Ah2MlA,0,0,0,1,9,10
https://www.coursera.org/learn/10k-women-brpt-6,nRM7k-5tEemjIRKsAX_xWg,"Fundamentos de Vendas e Marketing com o 10,000 Women da Goldman Sachs",10k-women-brpt-6,COURSE~nRM7k-5tEemjIRKsAX_xWg,0,0,0,0,12,12
https://www.coursera.org/learn/10k-women-brpt-7,qSGhYu5tEem5hAoTk7uzWg,"Fundamentos de Operações com o 10,000 Women da Goldman Sachs",10k-women-brpt-7,COURSE~qSGhYu5tEem5hAoTk7uzWg,0,0,0,0,3,3
https://www.coursera.org/learn/10k-women-brpt-8,pYOTDO5tEem5hAoTk7uzWg,"Fundamentos de Gerenciamento com o 10,000 Women da Goldman Sachs",10k-women-brpt-8,COURSE~pYOTDO5tEem5hAoTk7uzWg,0,0,0,0,5,5
https://www.coursera.org/learn/10k-women-brpt-9,uDvmb-5tEemjIRKsAX_xWg,"Fundamentos de Financiamento com o 10,000 Women da Goldman Sachs",10k-women-brpt-9,COURSE~uDvmb-5tEemjIRKsAX_xWg,0,0,0,0,2,2
https://www.coursera.org/learn/10k-women-esp-1,IqHvce5rEemvoBLePax8eg,"Haz Crecer Tu Negocio con Goldman Sachs 10,000 Women",10k-women-esp-1,COURSE~IqHvce5rEemvoBLePax8eg,0,0,0,2,17,19
https://www.coursera.org/learn/10k-women-esp-10,-CIx6-5sEemlsAqTi94BEA,"Fundamentos de la Negociación con Goldman Sachs 10,000 Women",10k-women-esp-10,COURSE~-CIx6-5sEemlsAqTi94BEA,0,0,0,2,18,20
https://www.coursera.org/learn/10k-women-esp-2,A9fa-u5rEemjIRKsAX_xWg,"Fundamentos de los Aspectos Financieros del Negocio con Goldman Sachs 10,000 Women",10k-women-esp-2,COURSE~A9fa-u5rEemjIRKsAX_xWg,0,0,0,2,8,10
https://www.coursera.org/learn/10k-women-esp-3,G6rLJ-5rEemjIRKsAX_xWg,"Fundamentos del Liderazgo con Goldman Sachs 10,000 Women",10k-women-esp-3,COURSE~G6rLJ-5rEemjIRKsAX_xWg,2,0,0,5,22,29
https://www.coursera.org/learn/10k-women-esp-4,JX1Kle5rEemecg6V7rAA1A,"Fundamentos de los Clientes y la Competencia con Goldman Sachs 10,000 Women",10k-women-esp-4,COURSE~JX1Kle5rEemecg6V7rAA1A,0,0,0,0,2,2
https://www.coursera.org/learn/10k-women-esp-5,Otm7-e5rEemlsAqTi94BEA,"Fundamentos de la Planificación Financiera con Goldman Sachs 10,000 Women",10k-women-esp-5,COURSE~Otm7-e5rEemlsAqTi94BEA,1,1,0,0,5,7
https://www.coursera.org/learn/10k-women-esp-6,ddT1Qe5sEemPyQprX-xbXA,"Fundamentos de las Ventas y el Marketing con Goldman Sachs 10,000 Women",10k-women-esp-6,COURSE~ddT1Qe5sEemPyQprX-xbXA,0,2,0,2,35,39
https://www.coursera.org/learn/10k-women-esp-7,pH3-m-5sEem7Cw7a--m-Ig,"Fundamentos de las Operaciones con Goldman Sachs 10,000 Women",10k-women-esp-7,COURSE~pH3-m-5sEem7Cw7a--m-Ig,0,0,1,0,7,8
https://www.coursera.org/learn/10k-women-esp-8,-crZiO5sEemPyQprX-xbXA,"Fundamentos de la Administración con Goldman Sachs 10,000 Women",10k-women-esp-8,COURSE~-crZiO5sEemPyQprX-xbXA,0,0,0,0,8,8
https://www.coursera.org/learn/10k-women-esp-9,3JA-me5sEemPyQprX-xbXA,"Fundamentos de la Financiación con Goldman Sachs 10,000 Women",10k-women-esp-9,COURSE~3JA-me5sEemPyQprX-xbXA,0,0,0,0,1,1
https://www.coursera.org/learn/10kw-digital-marketing,o1TxNAZhEey5zQ4LqE3elQ,"Digital Marketing Strategy with Goldman Sachs 10,000 Women",10kw-digital-marketing,COURSE~o1TxNAZhEey5zQ4LqE3elQ,0,0,0,4,16,20
https://www.coursera.org/learn/10kw-innovation-strategy,Ocv3YAsgEey6IAo7CGAsSQ,"Innovation Strategy with Goldman Sachs 10,000 Women ",10kw-innovation-strategy,COURSE~Ocv3YAsgEey6IAo7CGAsSQ,0,0,0,0,2,2
https://www.coursera.org/learn/10kw-social-impact,7YoG8wvYEey6IAo7CGAsSQ,"Social Impact Strategy with Goldman Sachs 10,000 Women",10kw-social-impact,COURSE~7YoG8wvYEey6IAo7CGAsSQ,0,0,1,2,3,6
https://www.coursera.org/learn/2-speed-it,bIkXsq9HEeSmzyIAC0yFng,"Two Speed IT: How Companies Can Surf the Digital Wave, a BCG Perspective",2-speed-it,COURSE~bIkXsq9HEeSmzyIAC0yFng,3,2,5,10,26,46
https://www.coursera.org/learn/2021-prevent-cancer,c5fXimTTEeukqwqbfuJnYQ,2021 Cancer Prevention Web-Based Activity (CE eligible),2021-prevent-cancer,COURSE~c5fXimTTEeukqwqbfuJnYQ,0,0,0,0,0,0
https://www.coursera.org/learn/2022-prevent-cancer,4Vfx6oVEEeyzgAoWxh7fSw,2022 Cancer Prevention Web-Based Activity (CE eligible),2022-prevent-cancer,COURSE~4Vfx6oVEEeyzgAoWxh7fSw,0,0,0,0,2,2
https://www.coursera.org/learn/20cnwm,H9F0uPUfEeW_PAqltdIuVw,20世纪西方音乐 Western Music in the 20th Century,20cnwm,COURSE~H9F0uPUfEeW_PAqltdIuVw,1,0,1,2,7,11
https://www.coursera.org/learn/21st-century-energy-transition,3ZbFIBc-Ee2OIA59BrOT3Q,21st Century Energy Transition: how do we make it work?,21st-century-energy-transition,COURSE~3ZbFIBc-Ee2OIA59BrOT3Q,0,0,1,0,10,11
https://www.coursera.org/learn/2d-cad,POZJ3uOtEeSoXCIACw4Gzg,工程圖學 2D CAD,2d-cad,COURSE~POZJ3uOtEeSoXCIACw4Gzg,5,0,0,4,29,38
